stock_code,description,classification_text,description_id,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category,gross_sales,cancellation_value,estimated_net_revenue,units_sold,sales_invoices,known_customers,abc_class
15056N,EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL NATURAL,1271,Fashion & Personal Accessories,High,QA rule agreement,Fashion & Personal Accessories,High,,Fashion & Personal Accessories,60145.85,840.55,59305.3,11459,1149,347,A
85099C,JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG BAROQUE BLACK WHITE,2102,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,59142.78,570.88,58571.9,30657,1878,506,A
22114,HOT WATER BOTTLE TEA AND SYMPATHY,HOT WATER BOTTLE TEA AND SYMPATHY,1998,Bathroom & Personal Care,High,QA keyword correction,Kitchen & Dining,High,,Bathroom & Personal Care,59189.14,795.2,58393.94,11677,1583,626,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,2753,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,58652.7,1185.6,57467.100000000006,18634,1427,701,A
22112,CHOCOLATE HOT WATER BOTTLE,CHOCOLATE HOT WATER BOTTLE,887,Bathroom & Personal Care,High,QA keyword correction,Kitchen & Dining,High,,Bathroom & Personal Care,57981.94,687.48,57294.46,11065,1721,631,A
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO SHOPPER VINTAGE RED PAISLEY,2119,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,57318.71,791.52,56527.19,27281,2192,658,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,WOOD BLACK BOARD ANT WHITE FINISH,4539,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,56745.73,325.0,56420.73,9831,1176,451,A
22470,HEART OF WICKER LARGE,HEART OF WICKER LARGE,1934,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,53506.130000000005,1028.7,52477.43000000001,17773,1952,827,A
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,SET/5 RED RETROSPOT LID GLASS BOWLS,3806,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,52508.560000000005,1068.8,51439.76,18670,2030,647,A
21212,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,2697,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,51825.15,549.66,51275.49,94884,3118,1115,A
22178,VICTORIAN GLASS HANGING T-LIGHT,VICTORIAN GLASS HANGING T-LIGHT,4280,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,52382.82,1262.94,51119.88,40081,1816,593,A
22139,RETROSPOT TEA SET CERAMIC 11 PC,RETROSPOT TEA SET CERAMIC 11 PC,3354,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,52843.01,2014.5,50828.51,10609,2093,941,A
21181,PLEASE ONE PERSON METAL SIGN,PLEASE ONE PERSON METAL SIGN,3078,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,50117.14000000001,225.90000000000003,49891.240000000005,24732,1810,598,A
21733,RED HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,3220,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,50346.490000000005,1102.25,49244.240000000005,17575,1760,744,A
21929,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG PINK VINTAGE PAISLEY,2109,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,49651.99,483.97,49168.02,25608,1619,504,A
22090,PAPER BUNTING RETROSPOT,PAPER BUNTING RETROSPOT,2744,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,50431.9,1290.15,49141.75,16698,1703,631,A
22189,CREAM HEART CARD HOLDER,CREAM HEART CARD HOLDER,1025,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,49300.94,168.73000000000002,49132.21,16186,1299,536,A
22111,SCOTTIE DOG HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,3511,Bathroom & Personal Care,High,QA rule agreement,Bathroom & Personal Care,High,,Bathroom & Personal Care,49771.94,936.65,48835.29,9776,1689,717,A
84946,ANTIQUE SILVER TEA GLASS ETCHED,ANTIQUE SILVER TEA GLASS ETCHED,216,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,49210.4,503.03,48707.37,36696,1769,641,A
48194,DOORMAT HEARTS,DOORMAT HEARTS,1194,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,48726.56,172.17,48554.39,7726,1349,516,A
22469,HEART OF WICKER SMALL,HEART OF WICKER SMALL,1935,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,48935.11,424.65,48510.46,27908,2151,886,A
21232,STRAWBERRY CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,4072,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,49300.57,950.09,48350.48,37997,2435,689,A
15056BL,EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL BLACK,1270,Fashion & Personal Accessories,High,QA keyword correction,Home Decor & Furnishings,High,,Fashion & Personal Accessories,48723.77,1071.35,47652.420000000006,9620,944,321,A
22457,NATURAL SLATE HEART CHALKBOARD,NATURAL SLATE HEART CHALKBOARD,2528,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,47288.23,315.95000000000005,46972.280000000006,15373,2046,874,A
21731,RED TOADSTOOL LED NIGHT LIGHT,RED TOADSTOOL LED NIGHT LIGHT,3294,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,48315.84,1457.9,46857.94,28910,1537,415,A
48187,DOORMAT NEW ENGLAND,DOORMAT NEW ENGLAND,1201,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,46405.4,76.46000000000001,46328.94,7314,1282,525,A
21754,HOME BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,1975,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,46516.99,231.65,46285.34,7595,2066,682,A
21523,DOORMAT FANCY FONT HOME SWEET HOME,DOORMAT FANCY FONT HOME SWEET HOME,1193,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,46083.71,47.54,46036.17,6916,1122,357,A
21928,JUMBO BAG SCANDINAVIAN PAISLEY,JUMBO BAG SCANDINAVIAN PAISLEY,2111,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,46202.52,536.58,45665.94,24268,1542,450,A
82494L,WOODEN FRAME ANTIQUE WHITE,WOODEN FRAME ANTIQUE WHITE,4554,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,46967.09,1325.85,45641.240000000005,15679,2059,631,A
22355,CHARLOTTE BAG SUKI DESIGN,CHARLOTTE BAG SUKI DESIGN,837,"Bags, Storage & Travel",High,QA rule agreement,"Bags, Storage & Travel",High,,"Bags, Storage & Travel",45377.56,142.69,45234.87,31956,1742,393,A
21623,VINTAGE UNION JACK MEMOBOARD,VINTAGE UNION JACK MEMOBOARD,4377,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,45402.18,499.2000000000001,44902.98,6165,530,311,A
22326,ROUND SNACK BOXES SET OF4 WOODLAND,ROUND SNACK BOXES SET OF4 WOODLAND,3434,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,44257.740000000005,168.15,44089.59,15446,1391,439,A
20727,LUNCH BAG BLACK SKULL.,LUNCH BAG BLACK SKULL.,2314,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,45655.27,1778.95,43876.32,26678,2351,705,A
22383,LUNCH BAG SUKI DESIGN,LUNCH BAG SUKI DESIGN,2322,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,43254.35,285.8,42968.55,25058,2398,664,A
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,PINK 3 PIECE MINI DOTS CUTLERY SET,2844,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,42972.52,206.25,42766.27,11024,1167,431,A
84029E,RED WOOLLY HOTTIE WHITE HEART.,RED WOOLLY HOTTIE WHITE HEART.,3300,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,,42994.24,327.7,42666.54,10628,1145,500,A
23298,SPOTTY BUNTING,SPOTTY BUNTING,4036,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,43148.18,482.81,42665.37,8466,1146,573,A
22138,BAKING SET 9 PIECE RETROSPOT,BAKING SET 9 PIECE RETROSPOT,313,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,45882.01,4052.95,41829.060000000005,9366,1914,1137,A
21915,RED HARMONICA IN BOX,RED HARMONICA IN BOX,3222,Toys & Children,High,QA keyword correction,Other / Unclear,Medium,,Toys & Children,42664.54,991.0,41673.54,36289,1025,467,A
48185,DOORMAT FAIRY CAKE,DOORMAT FAIRY CAKE,1192,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,45723.84,4678.68,41045.16,6822,983,317,A
23203,JUMBO BAG VINTAGE DOILY,JUMBO BAG VINTAGE DOILY,2116,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,42030.34,1076.4,40953.94,20485,1231,505,A
82482,WOODEN PICTURE FRAME WHITE FINISH,WOODEN PICTURE FRAME WHITE FINISH,4558,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,41837.6,1068.15,40769.45,16914,2006,601,A
20728,LUNCH BAG CARS BLUE,LUNCH BAG CARS BLUE,2315,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,42270.3,1678.0,40592.3,24596,2067,702,A
20713,JUMBO BAG OWLS,JUMBO BAG OWLS,2105,"Bags, Storage & Travel",High,Keyword rule override,Home Decor & Furnishings,High,"Bags, Storage & Travel",,40667.05,448.98,40218.07,20814,1314,371,A
21175,GIN + TONIC DIET METAL SIGN,GIN + TONIC DIET METAL SIGN,1665,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,43851.48,3785.58,40065.9,20676,1659,553,A
22083,PAPER CHAIN KIT RETROSPOT,PAPER CHAIN KIT RETROSPOT,2751,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,40412.82,1397.6,39015.22,13716,1401,589,A
84078A,SET/4 WHITE RETRO STORAGE CUBES,SET/4 WHITE RETRO STORAGE CUBES,3804,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,43844.96,5187.650000000001,38657.31,1128,328,151,A
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,RED 3 PIECE MINI DOTS CUTLERY SET,3198,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,38810.64,382.83,38427.81,9771,1104,433,A
22629,SPACEBOY LUNCH BOX,SPACEBOY LUNCH BOX,4027,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,37955.5,125.85,37829.65,20807,1368,456,A
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,COLOUR GLASS. STAR T-LIGHT HOLDER,982,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,44680.75,7164.12,37516.63,15089,809,302,A
22720,SET OF 3 CAKE TINS PANTRY DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,3643,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,38108.89,730.1,37378.79,7483,1385,640,A
22960,JAM MAKING SET WITH JARS,JAM MAKING SET WITH JARS,2068,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,38380.11,1012.79,37367.32,9019,1159,583,A
85066,CREAM SWEETHEART MINI CHEST,CREAM SWEETHEART MINI CHEST,1033,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,38599.98,1235.4,37364.58,3091,929,471,A
82486,WOOD S/3 CABINET ANT WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,4541,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,38052.33,855.15,37197.18,4728,1274,365,A
21166,COOK WITH WINE METAL SIGN,COOK WITH WINE METAL SIGN,993,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,38138.86,967.23,37171.63,19932,1425,475,A
20712,JUMBO BAG WOODLAND ANIMALS,JUMBO BAG WOODLAND ANIMALS,2118,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,37499.37,447.61,37051.76,17710,1415,387,A
20726,LUNCH BAG WOODLAND,LUNCH BAG WOODLAND,2325,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,38506.74,1497.95,37008.79,22118,1926,585,A
22699,ROSES REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,3418,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,38249.5,1295.25,36954.25,13070,1424,524,A
21485,RETROSPOT HEART HOT WATER BOTTLE,RETROSPOT HEART HOT WATER BOTTLE,3348,Bathroom & Personal Care,High,QA rule agreement,Bathroom & Personal Care,High,,Bathroom & Personal Care,37078.67,178.20000000000002,36900.47,7593,1385,657,A
23284,DOORMAT KEEP CALM AND COME IN,DOORMAT KEEP CALM AND COME IN,1197,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,38133.64,1601.25,36532.39,5487,728,378,A
22727,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE RED,156,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,36543.77,315.0,36228.77,9234,1363,473,A
21524,DOORMAT SPOTTY HOME SWEET HOME,DOORMAT SPOTTY HOME SWEET HOME,1205,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,35955.44,56.39,35899.05,5255,1150,474,A
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,BLUE 3 PIECE MINI DOTS CUTLERY SET,472,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,35699.23,319.48,35379.75,9151,1026,426,A
20724,RED RETROSPOT CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,3251,"Bags, Storage & Travel",High,QA rule agreement,"Bags, Storage & Travel",High,,"Bags, Storage & Travel",35190.21,252.83,34937.38,32197,2035,524,A
21755,LOVE BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,2300,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Low,,,34836.020000000004,285.6,34550.420000000006,5643,1696,661,A
22379,RECYCLING BAG RETROSPOT,RECYCLING BAG RETROSPOT,3197,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,34640.84,128.95000000000002,34511.89,15765,1570,423,A
22328,ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF 4 FRUITS,3432,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,36170.310000000005,1812.45,34357.86000000001,12959,1159,401,A
22382,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SPACEBOY DESIGN,2321,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,34071.97,387.25,33684.72,20248,2153,790,A
22384,LUNCH BAG PINK POLKADOT,LUNCH BAG PINK POLKADOT,2318,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,34088.79,434.85,33653.94,20783,2106,681,A
22666,RECIPE BOX PANTRY YELLOW DESIGN,RECIPE BOX PANTRY YELLOW DESIGN,3185,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,33682.62,655.5500000000001,33027.07,10706,1657,701,A
22630,DOLLY GIRL LUNCH BOX,DOLLY GIRL LUNCH BOX,1174,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,33380.83,530.9999999999999,32849.83,18058,1333,423,A
22726,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE GREEN,152,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,32609.32,243.75,32365.57,7671,1273,404,A
15036,ASSORTED COLOURS SILK FAN,ASSORTED COLOURS SILK FAN,256,Fashion & Personal Accessories,High,QA keyword correction,Other / Unclear,Low,,Fashion & Personal Accessories,32967.03,644.03,32323.0,44272,991,303,A
22385,JUMBO BAG SPACEBOY DESIGN,JUMBO BAG SPACEBOY DESIGN,2112,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,32433.5,725.44,31708.06,17057,1248,412,A
22077,6 RIBBONS RUSTIC CHARM,6 RIBBONS RUSTIC CHARM,105,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,31513.11,193.05,31320.06,17238,1751,685,A
85152,HAND OVER THE CHOCOLATE SIGN,HAND OVER THE CHOCOLATE SIGN,1861,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,31483.7,191.51,31292.19,16373,1460,486,A
85014B,RED RETROSPOT UMBRELLA,RED RETROSPOT UMBRELLA,3272,Fashion & Personal Accessories,High,QA keyword correction,Other / Unclear,High,,Fashion & Personal Accessories,31268.0,105.1,31162.9,6194,935,437,A
22865,HAND WARMER OWL DESIGN,HAND WARMER OWL DESIGN,1867,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Medium,,Bathroom & Personal Care,31416.04,264.35,31151.69,14537,1212,566,A
48184,DOORMAT ENGLISH ROSE,DOORMAT ENGLISH ROSE,1191,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,31142.63,86.07,31056.56,4715,851,374,A
23245,SET OF 3 REGENCY CAKE TINS,SET OF 3 REGENCY CAKE TINS,3659,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,31118.550000000003,421.5,30697.050000000003,6345,873,472,A
21479,WHITE SKULL HOT WATER BOTTLE,WHITE SKULL HOT WATER BOTTLE,4498,Bathroom & Personal Care,High,QA keyword correction,Kitchen & Dining,High,,Bathroom & Personal Care,31079.8,677.1800000000001,30402.62,6219,930,410,A
22697,GREEN REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,1818,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,30425.050000000003,506.80000000000007,29918.250000000004,9795,1353,480,A
20679,EDWARDIAN PARASOL RED,EDWARDIAN PARASOL RED,1273,Fashion & Personal Accessories,High,QA rule agreement,Fashion & Personal Accessories,High,,Fashion & Personal Accessories,30020.97,107.1,29913.870000000003,6149,715,271,A
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,KNITTED UNION FLAG HOT WATER BOTTLE,2157,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Medium,,Bathroom & Personal Care,29533.87,219.7,29314.17,6830,1009,386,A
21217,RED RETROSPOT ROUND CAKE TINS,RED RETROSPOT ROUND CAKE TINS,3263,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,29769.24,484.5,29284.74,2904,928,423,A
47590B,PINK HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,2937,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,29504.36,293.05,29211.31,5751,882,428,A
22501,PICNIC BASKET WICKER LARGE,PICNIC BASKET WICKER LARGE,2828,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,30339.36,1158.45,29180.91,2612,762,346,A
23199,JUMBO BAG APPLES,JUMBO BAG APPLES,2101,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,30450.69,1309.25,29141.44,14908,978,344,A
22659,LUNCH BOX I LOVE LONDON,LUNCH BOX I LOVE LONDON,2326,"Bags, Storage & Travel",High,Keyword rule override,Kitchen & Dining,High,"Bags, Storage & Travel",,29563.81,574.95,28988.86,15942,1075,294,A
22158,3 HEARTS HANGING DECORATION RUSTIC,3 HEARTS HANGING DECORATION RUSTIC,39,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,29198.28,239.9,28958.38,8985,718,374,A
22622,BOX OF VINTAGE ALPHABET BLOCKS,BOX OF VINTAGE ALPHABET BLOCKS,651,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,29450.11,559.35,28890.76,2945,571,346,A
48188,DOORMAT WELCOME PUPPIES,DOORMAT WELCOME PUPPIES,1210,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,28639.1,85.35,28553.75,4872,698,309,A
23355,HOT WATER BOTTLE KEEP CALM,HOT WATER BOTTLE KEEP CALM,1996,Bathroom & Personal Care,High,QA keyword correction,Kitchen & Dining,High,,Bathroom & Personal Care,28718.8,417.6,28301.2,5816,782,474,A
22188,BLACK HEART CARD HOLDER,BLACK HEART CARD HOLDER,430,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Medium,,,28112.03,19.75,28092.28,10353,566,292,A
84978,HANGING HEART JAR T-LIGHT HOLDER,HANGING HEART JAR T-LIGHT HOLDER,1888,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,28475.96,417.72,28058.24,21689,1425,525,A
22866,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER SCOTTY DOG DESIGN,1870,Bathroom & Personal Care,High,QA keyword correction,Other / Unclear,Medium,,Bathroom & Personal Care,28266.870000000003,259.50000000000006,28007.370000000003,12778,1083,530,A
21977,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,2695,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,28081.73,117.3,27964.43,56061,1993,767,A
82583,HOT BATHS METAL SIGN,HOT BATHS METAL SIGN,1991,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,27981.99,204.09,27777.9,12877,1176,323,A
22492,MINI PAINT SET VINTAGE,MINI PAINT SET VINTAGE,2428,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,27817.59,182.65,27634.94,43546,732,363,A
20719,WOODLAND CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,4568,"Bags, Storage & Travel",High,QA rule agreement,"Bags, Storage & Travel",High,,"Bags, Storage & Travel",27598.42,106.82,27491.6,24479,1573,365,A
22467,GUMBALL COAT RACK,GUMBALL COAT RACK,1850,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,,28059.480000000003,665.55,27393.930000000004,11868,1095,398,A
21930,JUMBO STORAGE BAG SKULLS,JUMBO STORAGE BAG SKULLS,2120,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,27368.08,11.49,27356.59,13390,1321,386,A
