invoice_no,cancellation_date,customer_id,country,cancelled_lines,cancelled_products,cancelled_units,cancellation_value
C548577,2011-04-01 10:46:00,13694,United Kingdom,5,5,632,933.9200000000001
C575341,2011-11-09 14:36:00,12931,United Kingdom,2,2,564,930.5999999999999
C574922,2011-11-07 16:39:00,15502,United Kingdom,15,14,291,913.0799999999999
C492932,2009-12-21 12:17:00,16772,United Kingdom,10,10,103,896.8499999999999
C513780,2010-06-28 14:15:00,16754,United Kingdom,4,4,760,891.12
C523427,2010-09-22 10:43:00,14933,Channel Islands,1,1,300,885.0
C536812,2010-12-02 16:58:00,16546,United Kingdom,6,6,852,883.0800000000002
C508334,2010-05-14 12:04:00,13694,United Kingdom,1,1,1200,864.0
C558553,2011-06-30 12:44:00,17949,United Kingdom,1,1,576,835.1999999999999
C556522,2011-06-13 11:21:00,16938,United Kingdom,1,1,1515,833.2500000000001
C540307,2011-01-06 12:58:00,15823,United Kingdom,15,15,282,811.86
C531807,2010-11-09 16:12:00,15215,United Kingdom,38,38,292,807.02
C513587,2010-06-27 10:41:00,14970,United Kingdom,6,6,145,790.25
C569995,2011-10-06 20:36:00,14557,United Kingdom,16,16,510,788.38
C569985,2011-10-06 19:51:00,15365,United Kingdom,36,36,325,765.15
C548460,2011-03-31 11:58:00,16801,United Kingdom,45,45,186,751.9
C499282,2010-02-25 18:55:00,16684,United Kingdom,1,1,432,730.0799999999999
C552564,2011-05-10 11:55:00,13694,United Kingdom,2,2,400,716.0
C539576,2010-12-20 12:25:00,14911,EIRE,18,18,358,707.0600000000001
C546735,2011-03-16 11:50:00,16029,United Kingdom,3,3,336,705.6
C491023,2009-12-08 18:57:00,15971,United Kingdom,2,2,232,700.4
C511814,2010-06-10 15:54:00,13694,United Kingdom,4,4,125,681.25
C580971,2011-12-06 15:04:00,14298,United Kingdom,3,3,322,664.86
C490942,2009-12-08 14:04:00,14337,United Kingdom,36,36,393,658.63
C507451,2010-05-10 10:04:00,14258,United Kingdom,4,4,118,643.1
C531565,2010-11-09 10:22:00,16684,United Kingdom,3,3,287,642.45
C557941,2011-06-23 16:00:00,12901,United Kingdom,2,2,324,641.8
C511813,2010-06-10 15:51:00,17706,United Kingdom,7,7,95,641.25
C530573,2010-11-03 14:34:00,16422,United Kingdom,4,4,420,618.5999999999999
C529564,2010-10-28 18:14:00,16422,United Kingdom,4,4,420,618.5999999999999
C516784,2010-07-23 09:28:00,12755,Japan,11,11,358,617.5
C536071,2010-11-30 10:53:00,18084,United Kingdom,2,2,425,616.25
C508421,2010-05-14 16:14:00,13799,United Kingdom,5,5,108,615.6
C523153,2010-09-20 15:00:00,16754,United Kingdom,2,2,181,608.3700000000001
C510214,2010-05-28 08:16:00,15061,United Kingdom,1,1,60,597.0
C561810,2011-07-29 15:12:00,14145,United Kingdom,1,1,120,594.0
C570828,2011-10-12 13:15:00,14911,EIRE,39,39,217,593.1
C543551,2011-02-10 10:00:00,16716,United Kingdom,1,1,76,581.4
C557508,2011-06-20 16:13:00,16684,United Kingdom,2,2,720,580.8
C570221,2011-10-09 12:56:00,13113,United Kingdom,30,29,261,577.16
C542138,2011-01-25 17:21:00,17368,United Kingdom,17,17,711,563.15
C568096,2011-09-23 14:50:00,17867,United Kingdom,1,1,288,561.6
C570290,2011-10-10 11:54:00,14665,United Kingdom,25,25,238,559.52
C508458,2010-05-14 17:15:00,15270,United Kingdom,2,2,102,555.9
C508384,2010-05-14 14:18:00,13634,United Kingdom,28,28,156,553.92
C510211,2010-05-28 08:06:00,14147,United Kingdom,1,1,144,540.0
C504215,2010-04-12 11:55:00,15546,United Kingdom,6,6,99,539.5500000000001
C521998,2010-09-10 11:07:00,12921,United Kingdom,29,29,224,534.7
C560409,2011-07-18 14:24:00,16717,United Kingdom,31,31,287,530.47
C552552,2011-05-10 10:51:00,16525,United Kingdom,8,8,162,529.7
C561059,2011-07-24 13:26:00,13802,United Kingdom,3,3,250,525.0
C495012,2010-01-20 13:03:00,15311,United Kingdom,16,16,325,514.8100000000001
C497268,2010-02-08 13:36:00,,United Arab Emirates,28,28,462,503.9
C507361,2010-05-07 15:55:00,15311,United Kingdom,6,6,92,502.70000000000005
C527020,2010-10-14 11:52:00,12589,France,28,28,386,501.49
C559939,2011-07-14 10:19:00,14426,United Kingdom,32,32,342,500.74
C494973,2010-01-20 11:06:00,14156,EIRE,2,2,450,496.5
C530182,2010-11-02 10:38:00,14934,Channel Islands,31,31,314,490.5
C577737,2011-11-21 13:25:00,15681,United Kingdom,14,14,260,479.8
C517068,2010-07-26 13:46:00,16555,United Kingdom,21,21,774,479.7
C569994,2011-10-06 20:33:00,15606,United Kingdom,13,13,160,477.72
C555014,2011-05-31 10:45:00,13113,United Kingdom,4,4,59,477.55
C568884,2011-09-29 12:49:00,14680,United Kingdom,3,3,200,476.0
C573092,2011-10-27 14:38:00,13791,United Kingdom,6,6,372,468.32
C572410,2011-10-24 11:58:00,16742,United Kingdom,3,3,190,464.9
C517063,2010-07-26 13:39:00,16555,United Kingdom,15,15,570,462.54
C578259,2011-11-23 13:02:00,16660,United Kingdom,1,1,120,457.2
C510200,2010-05-28 07:40:00,12643,France,2,2,300,456.0
C575940,2011-11-13 11:38:00,17838,United Kingdom,15,15,434,453.4
C562221,2011-08-03 14:22:00,16525,United Kingdom,8,8,598,452.41999999999996
C540109,2011-01-04 17:12:00,17389,United Kingdom,1,1,150,442.5
C530065,2010-11-01 11:45:00,14934,Channel Islands,29,29,337,439.83
C491190,2009-12-10 12:38:00,16057,United Kingdom,27,27,198,439.28000000000003
C508724,2010-05-18 09:29:00,15125,United Kingdom,4,4,81,437.45000000000005
C580954,2011-12-06 14:19:00,12967,United Kingdom,13,13,194,436.2
C574748,2011-11-07 08:41:00,17107,United Kingdom,3,3,300,435.0
C559345,2011-07-07 17:16:00,13984,United Kingdom,1,1,408,432.48
C547725,2011-03-25 10:43:00,,United Kingdom,25,23,595,431.6
C555636,2011-06-06 12:33:00,15073,United Kingdom,22,22,214,430.97999999999996
C518668,2010-08-10 14:58:00,13798,United Kingdom,2,2,154,430.7
C551348,2011-04-28 09:49:00,12415,Australia,1,1,100,425.0
C497585,2010-02-10 16:25:00,16013,United Kingdom,16,16,197,419.65
C510212,2010-05-28 08:12:00,17426,United Kingdom,9,8,77,419.65
C540852,2011-01-12 09:48:00,15197,United Kingdom,1,1,12,419.4
C542738,2011-01-31 15:53:00,13089,United Kingdom,1,1,12,419.4
C579192,2011-11-28 15:43:00,12657,France,8,8,386,419.12
C517067,2010-07-26 13:42:00,16555,United Kingdom,10,10,165,416.95
C551510,2011-04-28 19:43:00,16163,United Kingdom,1,1,100,415.00000000000006
C530187,2010-11-02 11:01:00,12986,United Kingdom,8,8,125,407.1600000000001
C519040,2010-08-13 11:25:00,17428,United Kingdom,4,4,74,403.30000000000007
C562811,2011-08-09 15:30:00,13217,United Kingdom,2,2,144,396.96000000000004
C566467,2011-09-12 18:04:00,14688,United Kingdom,22,22,335,394.85
C542693,2011-01-31 12:36:00,12908,United Kingdom,1,1,600,390.0
C518263,2010-08-05 18:59:00,12678,France,3,3,115,389.85
C505529,2010-04-22 17:37:00,17679,United Kingdom,21,21,332,389.4
C508459,2010-05-14 17:23:00,12989,United Kingdom,3,3,71,386.95000000000005
C580968,2011-12-06 14:57:00,15622,United Kingdom,15,14,106,381.95
C548463,2011-03-31 12:11:00,13225,United Kingdom,2,1,64,380.79999999999995
C518544,2010-08-09 18:20:00,17314,United Kingdom,24,24,425,375.32
C531576,2010-11-09 10:46:00,16013,United Kingdom,2,2,120,366.0
C563655,2011-08-18 10:44:00,15311,United Kingdom,4,4,132,365.15999999999997
C500705,2010-03-09 13:46:00,14748,United Kingdom,22,22,396,363.56
C558110,2011-06-26 15:47:00,17731,United Kingdom,16,16,101,361.90999999999997
C499389,2010-02-26 12:44:00,14646,Netherlands,2,2,400,361.0
C564899,2011-08-31 11:31:00,14646,Netherlands,2,2,288,360.0
C572754,2011-10-25 17:29:00,15482,United Kingdom,7,7,264,360.0
C548972,2011-04-05 11:42:00,15674,United Kingdom,19,19,198,355.12
C542413,2011-01-27 17:11:00,16923,United Kingdom,15,14,160,350.5
C540780,2011-01-11 11:19:00,14299,United Kingdom,4,4,52,347.5
C505722,2010-04-25 13:44:00,17550,United Kingdom,17,17,60,341.1
C513590,2010-06-27 10:49:00,14970,United Kingdom,1,1,40,340.0
C566071,2011-09-08 17:56:00,17997,United Kingdom,7,7,139,338.95
C581228,2011-12-08 10:06:00,16019,United Kingdom,5,5,84,336.0
C577775,2011-11-21 16:00:00,12504,Germany,3,3,36,335.4
C520298,2010-08-25 11:35:00,16985,United Kingdom,2,2,2,334.95
C542793,2011-02-01 10:52:00,14113,United Kingdom,2,2,78,331.5
C510226,2010-05-28 08:48:00,17850,United Kingdom,5,5,49,330.75
C550181,2011-04-14 17:43:00,13069,United Kingdom,21,21,214,330.34
C571695,2011-10-18 14:46:00,14776,United Kingdom,16,16,440,330.24
C556647,2011-06-13 16:14:00,13012,United Kingdom,16,16,148,330.12
C547961,2011-03-28 15:30:00,15032,United Kingdom,2,2,200,330.0
C502434,2010-03-24 13:01:00,16735,United Kingdom,13,13,205,327.93
C528449,2010-10-22 11:12:00,13703,United Kingdom,36,35,118,326.06
C528451,2010-10-22 11:23:00,12986,United Kingdom,31,30,157,324.34
C490798,2009-12-08 11:51:00,14277,France,17,17,195,318.45
C490120,2009-12-03 17:52:00,14277,France,17,17,195,318.45
C503610,2010-04-06 10:36:00,17949,United Kingdom,1,1,300,318.0
C497041,2010-02-05 14:41:00,17949,United Kingdom,1,1,300,318.0
C571196,2011-10-14 12:02:00,,United Kingdom,21,21,258,313.86
C564279,2011-08-24 10:54:00,17706,United Kingdom,5,5,35,310.33000000000004
C567691,2011-09-21 17:04:00,17567,United Kingdom,11,11,202,309.02
C490996,2009-12-08 17:23:00,15935,United Kingdom,22,22,286,308.82
C553880,2011-05-19 15:23:00,13762,United Kingdom,7,7,272,306.72
C507015,2010-05-05 14:28:00,15097,United Kingdom,1,1,120,306.0
C571262,2011-10-16 10:52:00,12901,United Kingdom,1,1,360,306.0
C511807,2010-06-10 15:29:00,17850,United Kingdom,2,2,56,305.2
C511272,2010-06-07 13:06:00,14159,United Kingdom,1,1,210,304.5
C578832,2011-11-25 15:18:00,13069,United Kingdom,23,23,165,303.96
C496000,2010-01-28 12:01:00,16634,United Kingdom,20,20,186,303.8
C532385,2010-11-11 18:36:00,12748,United Kingdom,1,1,243,303.75
C494907,2010-01-19 16:36:00,17307,United Kingdom,1,1,144,302.40000000000003
C510252,2010-05-28 10:37:00,15061,United Kingdom,1,1,144,302.40000000000003
C518669,2010-08-10 15:16:00,13004,United Kingdom,23,23,240,301.65999999999997
C548748,2011-04-04 12:28:00,15223,United Kingdom,12,12,115,300.85
C539644,2010-12-20 15:52:00,12471,Germany,15,14,57,300.65
C573084,2011-10-27 14:24:00,13587,United Kingdom,1,1,12,299.4
C511526,2010-06-08 17:20:00,18214,United Kingdom,4,4,199,299.34999999999997
C556448,2011-06-10 15:39:00,15098,United Kingdom,1,1,60,297.0
C537860,2010-12-08 16:15:00,16252,United Kingdom,21,21,158,295.09000000000003
C543632,2011-02-10 16:22:00,14842,United Kingdom,1,1,1,295.0
C519683,2010-08-19 12:50:00,18227,United Kingdom,1,1,1,295.0
C530614,2010-11-03 15:49:00,16570,United Kingdom,1,1,1,295.0
C530664,2010-11-04 10:43:00,16732,United Kingdom,1,1,1,295.0
C539438,2010-12-17 15:11:00,16607,United Kingdom,1,1,1,295.0
C522044,2010-09-10 13:29:00,15809,United Kingdom,1,1,1,295.0
C517968,2010-08-03 13:06:00,16556,United Kingdom,1,1,1,295.0
C507195,2010-05-06 16:21:00,16656,United Kingdom,1,1,309,293.55
C532326,2010-11-11 15:25:00,15270,United Kingdom,1,1,2,290.0
C537132,2010-12-05 12:29:00,15221,United Kingdom,6,6,18,289.15
C516459,2010-07-20 13:48:00,14492,United Kingdom,10,10,107,288.05
C577779,2011-11-21 16:11:00,,United Kingdom,3,3,288,288.0
C555935,2011-06-08 09:14:00,12567,France,17,17,216,286.34000000000003
C524374,2010-09-28 17:37:00,13881,United Kingdom,1,1,48,285.6
C536757,2010-12-02 14:23:00,15838,United Kingdom,1,1,9360,280.8
C505383,2010-04-22 09:16:00,13734,United Kingdom,1,1,8,279.6
C549544,2011-04-10 11:15:00,15311,United Kingdom,1,1,100,275.0
C508677,2010-05-17 16:39:00,15805,United Kingdom,8,8,43,274.05
C492211,2009-12-15 16:45:00,15971,United Kingdom,1,1,64,272.0
C515630,2010-07-14 10:24:00,14045,United Kingdom,1,1,32,272.0
C517064,2010-07-26 13:40:00,16555,United Kingdom,3,3,132,270.6
C581229,2011-12-08 10:14:00,12558,USA,11,11,196,269.96
C540652,2011-01-10 15:04:00,17406,United Kingdom,1,1,1,265.5
C521201,2010-09-02 17:45:00,16993,United Kingdom,1,1,24,262.79999999999995
C553801,2011-05-19 11:05:00,17526,United Kingdom,1,1,24,262.79999999999995
C574322,2011-11-03 19:42:00,15482,United Kingdom,1,1,24,262.79999999999995
C512272,2010-06-14 13:32:00,15031,United Kingdom,36,36,156,261.91
C559983,2011-07-14 11:41:00,14562,United Kingdom,15,15,130,261.3
C533153,2010-11-16 14:00:00,16705,United Kingdom,2,2,103,259.35
C578377,2011-11-24 11:44:00,14277,France,3,3,360,259.2
C567708,2011-09-22 09:53:00,15201,United Kingdom,11,11,214,257.79
C512300,2010-06-14 15:30:00,14105,United Kingdom,7,7,42,256.7
C507457,2010-05-10 10:28:00,16705,United Kingdom,3,3,47,256.15000000000003
C508399,2010-05-14 15:31:00,17511,United Kingdom,3,3,47,256.15
C541572,2011-01-19 12:39:00,15171,United Kingdom,2,2,100,255.0
C513482,2010-06-24 17:32:00,16684,United Kingdom,1,1,240,254.4
C522937,2010-09-17 15:21:00,,United Kingdom,1,1,120,252.0
C552556,2011-05-10 11:21:00,17504,United Kingdom,13,13,208,251.75
C562223,2011-08-03 14:34:00,15804,United Kingdom,1,1,2,250.0
C549549,2011-04-10 11:37:00,16359,United Kingdom,2,2,2,250.0
C542232,2011-01-26 13:44:00,16714,United Kingdom,1,1,2,250.0
C503857,2010-04-08 10:29:00,12989,United Kingdom,1,1,72,248.4
C518255,2010-08-05 18:11:00,16045,United Kingdom,11,11,166,247.9
C560396,2011-07-18 13:49:00,18087,United Kingdom,3,3,288,244.79999999999998
C554006,2011-05-20 12:25:00,13418,United Kingdom,3,3,36,244.2
C509630,2010-05-25 10:03:00,13081,United Kingdom,3,3,72,243.60000000000002
C538357,2010-12-10 16:01:00,13798,United Kingdom,1,1,144,243.36
C504334,2010-04-12 16:36:00,13473,United Kingdom,1,1,38,241.68
C539598,2010-12-20 13:54:00,14299,United Kingdom,2,2,23,240.84999999999997
C567690,2011-09-21 17:01:00,15810,United Kingdom,20,20,118,239.12
C538059,2010-12-09 13:38:00,14205,United Kingdom,14,14,104,238.20000000000002
C580702,2011-12-05 16:26:00,17404,Sweden,1,1,40,238.0
C567953,2011-09-23 08:28:00,18198,United Kingdom,1,1,144,237.6
C491027,2009-12-08 19:04:00,15181,United Kingdom,1,1,48,237.6
C508926,2010-05-19 11:17:00,16167,United Kingdom,8,8,35,236.25
C559347,2011-07-07 17:22:00,18072,United Kingdom,16,16,240,235.2
C504415,2010-04-13 12:33:00,12971,United Kingdom,1,1,1440,230.4
C533394,2010-11-17 11:09:00,14088,United Kingdom,1,1,23,228.85
C500565,2010-03-08 15:48:00,15767,United Kingdom,8,8,47,227.85000000000002
C539037,2010-12-15 14:42:00,12666,Israel,2,2,56,227.44
C520839,2010-08-31 12:43:00,14646,Netherlands,5,5,100,226.2
C507171,2010-05-06 14:46:00,13798,United Kingdom,1,1,60,225.0
C545677,2011-03-06 10:48:00,14543,United Kingdom,9,9,23,224.85
C565848,2011-09-07 12:48:00,14606,United Kingdom,24,24,154,224.47
C560855,2011-07-21 13:00:00,14410,United Kingdom,40,39,134,223.77
C506979,2010-05-05 13:10:00,13287,United Kingdom,15,15,145,222.53
C539221,2010-12-16 12:56:00,14911,EIRE,5,5,30,220.5
C564488,2011-08-25 14:12:00,16859,United Kingdom,18,18,169,220.47
C560550,2011-07-19 12:47:00,12971,United Kingdom,1,1,37,220.15
C537251,2010-12-06 10:45:00,,United Kingdom,20,20,103,219.72
C511649,2010-06-09 13:55:00,14543,United Kingdom,8,8,20,218.4
C551540,2011-05-03 08:47:00,14735,United Kingdom,9,9,86,218.1
C548469,2011-03-31 12:32:00,14543,United Kingdom,9,9,23,217.96
C489563,2009-12-01 13:09:00,13526,United Kingdom,9,7,252,214.2
C552031,2011-05-05 18:14:00,13089,United Kingdom,4,4,39,212.54999999999998
C511477,2010-06-08 13:40:00,12409,Switzerland,2,2,96,211.20000000000002
C501131,2010-03-12 17:04:00,14031,United Kingdom,7,7,108,210.62
C499531,2010-03-01 11:29:00,14646,Netherlands,1,1,100,210.0
C535401,2010-11-26 11:13:00,15550,United Kingdom,1,1,6,209.7
C556966,2011-06-16 09:55:00,13523,United Kingdom,5,5,7,209.5
C537812,2010-12-08 13:33:00,14299,United Kingdom,2,2,20,209.0
C555006,2011-05-31 09:51:00,13694,United Kingdom,2,2,144,208.79999999999998
C489713,2009-12-02 10:55:00,12755,Japan,3,3,191,208.75
C534878,2010-11-24 14:39:00,15027,United Kingdom,1,1,576,207.36
C512293,2010-06-14 15:02:00,13069,United Kingdom,1,1,288,207.36
C540155,2011-01-05 11:31:00,,Bahrain,1,1,54,205.74
C556293,2011-06-10 09:30:00,13094,United Kingdom,3,3,162,205.74
C559742,2011-07-12 11:11:00,14267,United Kingdom,7,7,54,204.0
C540097,2011-01-04 15:46:00,15373,United Kingdom,5,5,24,202.79999999999998
C510217,2010-05-28 08:23:00,17049,United Kingdom,8,7,30,202.5
C499419,2010-02-26 16:26:00,15538,United Kingdom,10,10,12,202.45
C574027,2011-11-02 12:32:00,13394,United Kingdom,8,8,176,201.72000000000003
C515468,2010-07-12 16:07:00,14882,United Kingdom,2,2,192,201.60000000000002
C552568,2011-05-10 12:04:00,12901,United Kingdom,1,1,960,201.6
C491593,2009-12-11 13:11:00,17681,United Kingdom,1,1,96,201.6
C499530,2010-03-01 11:28:00,13446,United Kingdom,12,12,51,200.37
C520348,2010-08-25 13:19:00,16029,United Kingdom,1,1,20,199.0
C498576,2010-02-21 13:47:00,15527,United Kingdom,12,12,76,198.18
C515618,2010-07-13 17:19:00,17949,United Kingdom,1,1,18,197.1
C540112,2011-01-04 17:14:00,15973,United Kingdom,1,1,18,197.1
C570831,2011-10-12 13:25:00,14911,EIRE,4,4,8,196.70000000000002
C530054,2010-11-01 11:13:00,16191,United Kingdom,3,3,52,196.6
C569490,2011-10-04 13:15:00,12457,Cyprus,1,1,33,196.35
C489449,2009-12-01 10:33:00,16321,Australia,9,9,100,196.10000000000002
C516118,2010-07-16 14:32:00,13093,United Kingdom,2,2,24,195.6
C548465,2011-03-31 12:17:00,17526,United Kingdom,1,1,23,195.5
C553564,2011-05-17 17:43:00,17581,United Kingdom,1,1,1,195.0
C529606,2010-10-29 10:28:00,17396,United Kingdom,5,5,52,195.0
C555599,2011-06-06 10:59:00,17190,United Kingdom,1,1,1,195.0
C537402,2010-12-06 14:43:00,15502,United Kingdom,6,6,34,192.7
C568416,2011-09-27 11:08:00,14866,United Kingdom,4,4,183,192.45000000000002
C565681,2011-09-06 10:42:00,15521,United Kingdom,11,11,92,192.4
C516149,2010-07-18 10:52:00,13798,United Kingdom,22,22,65,191.94
C520180,2010-08-24 13:47:00,17873,United Kingdom,7,7,504,191.51999999999998
C509436,2010-05-23 15:02:00,15555,United Kingdom,7,7,115,190.85
C518997,2010-08-12 17:49:00,17949,United Kingdom,1,1,180,190.8
C513489,2010-06-24 18:33:00,15513,United Kingdom,2,2,35,190.75
C508707,2010-05-17 17:12:00,14430,United Kingdom,3,3,28,189.0
C530177,2010-11-02 10:09:00,14156,EIRE,6,6,64,189.0
C508499,2010-05-16 15:21:00,13798,United Kingdom,20,20,66,187.64000000000001
C515309,2010-07-09 16:39:00,13093,United Kingdom,2,2,20,187.0
C521481,2010-09-06 13:15:00,12779,Poland,6,6,128,186.39999999999998
C543755,2011-02-11 14:48:00,14304,United Kingdom,10,10,85,186.35000000000002
C554983,2011-05-29 12:18:00,17152,United Kingdom,2,2,40,186.0
C508846,2010-05-18 14:10:00,16067,United Kingdom,3,3,34,185.3
C561594,2011-07-28 11:22:00,17671,United Kingdom,6,6,104,184.08
C497224,2010-02-07 15:47:00,13798,United Kingdom,16,16,47,183.69
C533108,2010-11-16 11:55:00,12406,Denmark,1,1,24,183.6
C530186,2010-11-02 10:57:00,14292,United Kingdom,1,1,24,183.6
C538350,2010-12-10 15:01:00,13798,United Kingdom,26,26,108,183.6
C508450,2010-05-14 16:31:00,14051,United Kingdom,3,2,32,183.5
C528602,2010-10-22 15:06:00,12749,United Kingdom,15,15,24,183.05
C540164,2011-01-05 12:02:00,14911,EIRE,14,14,101,182.67000000000002
C571893,2011-10-19 14:13:00,13314,United Kingdom,12,12,73,182.43
C515983,2010-07-16 08:17:00,16133,United Kingdom,2,2,17,182.14999999999998
C501655,2010-03-18 13:00:00,13057,United Kingdom,2,2,13,181.34999999999997
C546162,2011-03-10 09:53:00,17404,Sweden,1,1,144,180.0
C552805,2011-05-11 12:34:00,14149,United Kingdom,11,11,86,179.54000000000002
C523352,2010-09-21 16:39:00,16684,United Kingdom,4,4,44,179.4
C538705,2010-12-14 10:33:00,15093,United Kingdom,2,2,17,179.14999999999998
C562188,2011-08-03 12:16:00,12748,United Kingdom,1,1,100,179.0
C570647,2011-10-11 13:09:00,15125,United Kingdom,1,1,100,179.0
C560148,2011-07-15 11:10:00,15769,United Kingdom,1,1,100,179.0
C550672,2011-04-20 10:10:00,12457,Switzerland,1,1,100,179.0
C578368,2011-11-24 11:05:00,16191,United Kingdom,1,1,96,177.60000000000002
C493168,2009-12-22 11:50:00,14258,United Kingdom,1,1,96,177.60000000000002
C531456,2010-11-08 13:22:00,13815,Germany,4,4,20,177.5
C573037,2011-10-27 13:45:00,12471,Germany,8,8,41,176.43
C577832,2011-11-22 10:18:00,18274,United Kingdom,11,11,88,175.92
C519002,2010-08-12 18:43:00,15838,United Kingdom,1,1,118,175.82
C518057,2010-08-04 11:51:00,15873,United Kingdom,3,3,576,175.68
