stock_code,gross_sales,units_sold,sales_invoices,known_customers,cancellation_value,cancellation_units,cancellation_invoices,description,estimated_net_revenue,cancellation_rate_pct,net_revenue_share_pct,abc_class
22178,52382.82,40081,1816,593,1262.94,1008.0,43.0,VICTORIAN GLASS HANGING T-LIGHT,51119.88,2.4109813102845554,0.2706374662526298,A
22139,52843.01,10609,2093,941,2014.5,460.0,51.0,RETROSPOT TEA SET CERAMIC 11 PC,50828.51,3.8122355255690388,0.26909490319219176,A
21181,50117.14000000001,24732,1810,598,225.90000000000003,114.0,16.0,PLEASE ONE PERSON METAL SIGN,49891.240000000005,0.450743996963913,0.26413283407163435,A
21733,50346.490000000005,17575,1760,744,1102.25,423.0,35.0,RED HANGING HEART T-LIGHT HOLDER,49244.240000000005,2.1893283921083673,0.2607075044216928,A
21929,49651.99,25608,1619,504,483.96999999999997,272.0,21.0,JUMBO BAG PINK VINTAGE PAISLEY,49168.02,0.9747242759051551,0.26030398258874293,A
22090,50431.9,16698,1703,631,1290.15,497.0,12.0,PAPER BUNTING RETROSPOT,49141.75,2.558202248973368,0.26016490467544473,A
22189,49300.94,16186,1299,536,168.73000000000002,43.0,14.0,CREAM HEART CARD HOLDER,49132.21,0.34224499573436123,0.26011439826916893,A
22111,49771.94,9776,1689,717,936.65,217.0,15.0,SCOTTIE DOG HOT WATER BOTTLE,48835.29,1.8818836476938612,0.25854245255099173,A
84946,49210.4,36696,1769,641,503.03000000000003,450.0,46.0,ANTIQUE SILVER TEA GLASS ETCHED,48707.37,1.022202623835612,0.2578652219964005,A
48194,48726.56,7726,1349,516,172.17,25.0,7.0,DOORMAT HEARTS,48554.39,0.35333912346777613,0.2570553194773154,A
22469,48935.11,27908,2151,886,424.65,281.0,19.0,HEART OF WICKER SMALL,48510.46,0.8677818441605627,0.2568227464765087,A
21232,49300.57,37997,2435,689,950.09,804.0,183.0,STRAWBERRY CERAMIC TRINKET BOX,48350.48,1.9271379620965843,0.2559757847494645,A
15056BL,48723.770000000004,9620,944,321,1071.3500000000001,213.0,12.0,EDWARDIAN PARASOL BLACK,47652.420000000006,2.1988241057701403,0.2522801346483236,A
22457,47288.23,15373,2046,874,315.95000000000005,109.0,31.0,NATURAL SLATE HEART CHALKBOARD,46972.280000000006,0.6681366589529784,0.2486793561195582,A
21731,48315.84,28910,1537,415,1457.8999999999999,990.0,24.0,RED TOADSTOOL LED NIGHT LIGHT,46857.939999999995,3.0174369316563676,0.24807402042840773,A
48187,46405.4,7314,1282,525,76.46000000000001,10.0,6.0,DOORMAT NEW ENGLAND,46328.94,0.16476530748576676,0.24527340314120677,A
21754,46516.99,7595,2066,682,231.65,39.0,20.0,HOME BUILDING BLOCK WORD,46285.34,0.49799008921256516,0.2450425772173467,A
21523,46083.71,6916,1122,357,47.54,6.0,4.0,DOORMAT FANCY FONT HOME SWEET HOME,46036.17,0.10316009713627658,0.24372342823917684,A
21928,46202.52,24268,1542,450,536.58,295.0,24.0,JUMBO BAG SCANDINAVIAN PAISLEY,45665.939999999995,1.1613652242345225,0.2417633667302157,A
82494L,46967.090000000004,15679,2059,631,1325.8500000000001,511.0,37.0,WOODEN FRAME ANTIQUE WHITE,45641.240000000005,2.8229341013037,0.2416326006678455,A
22355,45377.56,31956,1742,393,142.69,185.0,31.0,CHARLOTTE BAG SUKI DESIGN,45234.869999999995,0.3144505786560582,0.23948120776236365,A
21623,45402.18,6165,530,311,499.20000000000005,56.0,13.0,VINTAGE UNION JACK MEMOBOARD,44902.98,1.0995066756706398,0.23772412482956756,A
22326,44257.740000000005,15446,1391,439,168.15,57.0,25.0,ROUND SNACK BOXES SET OF4 WOODLAND,44089.590000000004,0.3799335438275881,0.23341789780643632,A
20727,45655.27,26678,2351,705,1778.95,1211.0,45.0,LUNCH BAG BLACK SKULL.,43876.32,3.89648336325686,0.2322888096233713,A
22383,43254.35,25058,2398,664,285.8,188.0,32.0,LUNCH BAG SUKI DESIGN,42968.549999999996,0.660742792343429,0.227482918593499,A
84997D,42972.520000000004,11024,1167,431,206.25,55.0,9.0,PINK 3 PIECE MINI DOTS CUTLERY SET,42766.270000000004,0.47995788936743755,0.22641201336693,A
84029E,42994.24,10628,1145,500,327.7,86.0,11.0,RED WOOLLY HOTTIE WHITE HEART.,42666.54,0.7621951219512195,0.22588402553696293,A
23298,43148.18,8466,1146,573,482.81,110.0,12.0,SPOTTY BUNTING,42665.37,1.118957972271368,0.2258778313550612,A
22138,45882.01,9366,1914,1137,4052.95,859.0,209.0,BAKING SET 9 PIECE RETROSPOT,41829.060000000005,8.833418588244063,0.22145026189672648,A
21915,42664.54,36289,1025,467,991.0,884.0,15.0,RED HARMONICA IN BOX,41673.54,2.3227720256681543,0.22062691217932476,A
48185,45723.840000000004,6822,983,317,4678.68,692.0,8.0,DOORMAT FAIRY CAKE,41045.16,10.232473912952193,0.2173001600225547,A
23203,42030.340000000004,20485,1231,505,1076.4,590.0,17.0,JUMBO BAG VINTAGE DOILY,40953.94,2.5610071200946742,0.2168172256011209,A
82482,41837.6,16914,2006,601,1068.15,460.0,30.0,WOODEN PICTURE FRAME WHITE FINISH,40769.45,2.553086219094786,0.2158405037044938,A
20728,42270.3,24596,2067,702,1678.0,1140.0,43.0,LUNCH BAG CARS BLUE,40592.3,3.969690302647485,0.21490264103449824,A
20713,40667.05,20814,1314,371,448.98,252.0,12.0,JUMBO BAG OWLS,40218.07,1.1040387734050048,0.21292140283527475,A
21175,43851.48,20676,1659,553,3785.58,2035.0,12.0,GIN + TONIC DIET METAL SIGN,40065.9,8.63273029781435,0.21211578859596777,A
22083,40412.82,13716,1401,589,1397.6000000000001,528.0,13.0,PAPER CHAIN KIT RETROSPOT,39015.22,3.4583085268486586,0.20655330736474597,A
84078A,43844.96,1128,328,151,5187.650000000001,147.0,20.0,SET/4 WHITE RETRO STORAGE CUBES,38657.31,11.831804613346666,0.20465847006179297,A
84997B,38810.64,9771,1104,433,382.83000000000004,109.0,7.0,RED 3 PIECE MINI DOTS CUTLERY SET,38427.81,0.9864047591072964,0.2034434574579884,A
22629,37955.5,20807,1368,456,125.85000000000001,71.0,14.0,SPACEBOY LUNCH BOX,37829.65,0.33157249937426725,0.20027669519615066,A
71477,44680.75,15089,809,302,7164.12,2574.0,67.0,COLOUR GLASS. STAR T-LIGHT HOLDER,37516.63,16.034019124567067,0.19861951329966737,A
22720,38108.89,7483,1385,640,730.1,154.0,73.0,SET OF 3 CAKE TINS PANTRY DESIGN,37378.79,1.9158259398266388,0.19788976455322543,A
22960,38380.11,9019,1159,583,1012.79,247.0,87.0,JAM MAKING SET WITH JARS,37367.32,2.6388407954015767,0.19782904039389806,A
85066,38599.979999999996,3091,929,471,1235.4,106.0,56.0,CREAM SWEETHEART MINI CHEST,37364.579999999994,3.2005197930154377,0.19781453436106827,A
82486,38052.33,4728,1274,365,855.15,105.0,44.0,WOOD S/3 CABINET ANT WHITE FINISH,37197.18,2.247299968227964,0.19692828987358726,A
21166,38138.86,19932,1425,475,967.2299999999999,558.0,17.0,COOK WITH WINE METAL SIGN,37171.63,2.5360747542008335,0.19679302376453628,A
20712,37499.37,17710,1415,387,447.61,251.0,18.0,JUMBO BAG WOODLAND ANIMALS,37051.76,1.1936467199315615,0.19615841129909814,A
20726,38506.74,22118,1926,585,1497.95,1015.0,38.0,LUNCH BAG WOODLAND,37008.79,3.8900982009902685,0.1959309207039544,A
22699,38249.5,13070,1424,524,1295.25,491.0,62.0,ROSES REGENCY TEACUP AND SAUCER,36954.25,3.386318775408829,0.1956421765322267,A
21485,37078.67,7593,1385,657,178.20000000000002,36.0,12.0,RETROSPOT HEART HOT WATER BOTTLE,36900.47,0.4805997626128446,0.1953574559316489,A
23284,38133.64,5487,728,378,1601.25,225.0,7.0,DOORMAT KEEP CALM AND COME IN,36532.39,4.199048399261125,0.1934087768937038,A
22727,36543.77,9234,1363,473,315.0,84.0,32.0,ALARM CLOCK BAKELIKE RED,36228.77,0.8619800310695914,0.19180136021933714,A
21524,35955.44,5255,1150,474,56.39,7.0,4.0,DOORMAT SPOTTY HOME SWEET HOME,35899.05,0.15683301330758292,0.1900557656410084,A
84997C,35699.23,9151,1026,426,319.48,92.0,10.0,BLUE 3 PIECE MINI DOTS CUTLERY SET,35379.75,0.8949212630076334,0.18730650182769365,A
20724,35190.21,32197,2035,524,252.82999999999998,321.0,36.0,RED RETROSPOT CHARLOTTE BAG,34937.38,0.7184668690525007,0.18496451870985034,A
21755,34836.020000000004,5643,1696,661,285.6,48.0,13.0,LOVE BUILDING BLOCK WORD,34550.420000000006,0.8198410725450266,0.18291588569386683,A
22379,34640.84,15765,1570,423,128.95000000000002,67.0,8.0,RECYCLING BAG RETROSPOT,34511.89,0.37224847896298136,0.18271190122491432,A
22328,36170.310000000005,12959,1159,401,1812.4499999999998,699.0,24.0,ROUND SNACK BOXES SET OF 4 FRUITS,34357.86000000001,5.010877706052283,0.1818964398246354,A
22382,34071.97,20248,2153,790,387.25,253.0,20.0,LUNCH BAG SPACEBOY DESIGN,33684.72,1.1365647480905858,0.17833272050382917,A
22384,34088.79,20783,2106,681,434.85,285.0,36.0,LUNCH BAG PINK POLKADOT,33653.94,1.2756392937384988,0.17816976587226008,A
22666,33682.62,10706,1657,701,655.5500000000001,237.0,63.0,RECIPE BOX PANTRY YELLOW DESIGN,33027.07,1.9462559622737186,0.17485100791606403,A
22630,33380.83,18058,1333,423,530.9999999999999,302.0,20.0,DOLLY GIRL LUNCH BOX,32849.83,1.5907333640295938,0.17391266877053757,A
22726,32609.32,7671,1273,404,243.75,65.0,23.0,ALARM CLOCK BAKELIKE GREEN,32365.57,0.747485688140691,0.1713489127639214,A
15036,32967.03,44272,991,303,644.03,929.0,14.0,ASSORTED COLOURS SILK FAN,32323.0,1.9535578424868725,0.17112353983780387,A
22385,32433.5,17057,1248,412,725.44,426.0,12.0,JUMBO BAG SPACEBOY DESIGN,31708.06,2.2366997086345908,0.16786794136031546,A
22077,31513.11,17238,1751,685,193.05,117.0,15.0,6 RIBBONS RUSTIC CHARM,31320.06,0.612602183662609,0.16581380240486368,A
85152,31483.7,16373,1460,486,191.51000000000002,101.0,8.0,HAND OVER THE CHOCOLATE SIGN,31292.190000000002,0.6082830162909697,0.1656662538154605,A
85014B,31268.0,6194,935,437,105.10000000000001,18.0,12.0,RED RETROSPOT UMBRELLA,31162.9,0.3361263911986696,0.1649817702444544,A
22865,31416.04,14537,1212,566,264.35,126.0,14.0,HAND WARMER OWL DESIGN,31151.690000000002,0.8414491450863953,0.16492242256999404,A
48184,31142.63,4715,851,374,86.07,11.0,5.0,DOORMAT ENGLISH ROSE,31056.56,0.27637357538525165,0.16441878793382875,A
23245,31118.550000000003,6345,873,472,421.5,90.0,37.0,SET OF 3 REGENCY CAKE TINS,30697.050000000003,1.3544975585302013,0.16251547995477086,A
21479,31079.8,6219,930,410,677.1800000000001,196.0,8.0,WHITE SKULL HOT WATER BOTTLE,30402.62,2.1788428496965877,0.160956716726282,A
22697,30425.050000000003,9795,1353,480,506.80000000000007,184.0,58.0,GREEN REGENCY TEACUP AND SAUCER,29918.250000000004,1.665732677514088,0.15839237836068362,A
20679,30020.97,6149,715,271,107.1,18.0,9.0,EDWARDIAN PARASOL RED,29913.870000000003,0.3567506313087152,0.1583691898848463,A
84029G,29533.87,6830,1009,386,219.7,60.0,9.0,KNITTED UNION FLAG HOT WATER BOTTLE,29314.17,0.7438916742032115,0.15519427459725754,A
21217,29769.24,2904,928,423,484.5,50.0,29.0,RED RETROSPOT ROUND CAKE TINS,29284.74,1.6275188751879457,0.15503846709865202,A
47590B,29504.36,5751,882,428,293.05,57.0,10.0,PINK HAPPY BIRTHDAY BUNTING,29211.31,0.9932430325551885,0.1546497160071602,A
22501,30339.36,2612,762,346,1158.45,131.0,33.0,PICNIC BASKET WICKER LARGE,29180.91,3.818307307734903,0.15448877316116605,A
23199,30450.690000000002,14908,978,344,1309.25,723.0,21.0,JUMBO BAG APPLES,29141.440000000002,4.299574164000881,0.15427981217000192,A
22659,29563.809999999998,15942,1075,294,574.95,337.0,22.0,LUNCH BOX I LOVE LONDON,28988.859999999997,1.9447764006060113,0.15347202731994306,A
22158,29198.280000000002,8985,718,374,239.9,82.0,15.0,3 HEARTS HANGING DECORATION RUSTIC,28958.38,0.8216237394805447,0.15331066094014367,A
22622,29450.11,2945,571,346,559.35,61.0,6.0,BOX OF VINTAGE ALPHABET BLOCKS,28890.760000000002,1.8993137886411968,0.15295266899125798,A
48188,28639.1,4872,698,309,85.35,11.0,6.0,DOORMAT WELCOME PUPPIES,28553.75,0.2980191416629713,0.151168479894926,A
23355,28718.8,5816,782,474,417.6,96.0,8.0,HOT WATER BOTTLE KEEP CALM,28301.2,1.4540997534715936,0.1498314366134844,A
22188,28112.030000000002,10353,566,292,19.75,5.0,3.0,BLACK HEART CARD HOLDER,28092.280000000002,0.07025462053078343,0.14872537808107977,A
84978,28475.96,21689,1425,525,417.72,361.0,51.0,HANGING HEART JAR T-LIGHT HOLDER,28058.239999999998,1.4669215717398116,0.14854516444694682,A
22866,28266.870000000003,12778,1083,530,259.50000000000006,135.0,7.0,HAND WARMER SCOTTY DOG DESIGN,28007.370000000003,0.9180358490345767,0.1482758498885349,A
21977,28081.73,56061,1993,767,117.3,219.0,11.0,PACK OF 60 PINK PAISLEY CAKE CASES,27964.43,0.4177093077954955,0.14804851811856817,A
82583,27981.99,12877,1176,323,204.09,107.0,13.0,HOT BATHS METAL SIGN,27777.9,0.729361993196338,0.14706099610990728,A
22492,27817.59,43546,732,363,182.64999999999998,281.0,14.0,MINI PAINT SET VINTAGE,27634.94,0.6565989361407655,0.14630414119992946,A
20719,27598.42,24479,1573,365,106.82,135.0,17.0,WOODLAND CHARLOTTE BAG,27491.6,0.38705114278281144,0.14554527450437674,A
22467,28059.480000000003,11868,1095,398,665.55,294.0,65.0,GUMBALL COAT RACK,27393.930000000004,2.3719256379662057,0.14502819266989486,A
21930,27368.08,13390,1321,386,11.49,6.0,6.0,JUMBO STORAGE BAG SKULLS,27356.59,0.04198321548314679,0.14483050826629543,A
82483,29003.370000000003,4878,1123,361,1683.8500000000001,283.0,82.0,WOOD 2 DRAWER CABINET WHITE FINISH,27319.520000000004,5.805704647425455,0.14463425328928878,A
72741,27239.46,19712,920,510,89.3,62.0,16.0,GRAND CHOCOLATECANDLE,27150.16,0.3278332243003349,0.1437376322235792,A
22624,27282.73,3152,1219,579,214.2,26.0,15.0,IVORY KITCHEN SCALES,27068.53,0.7851120470715357,0.14330546891704946,A
84991,27041.21,54028,2127,822,187.95,350.0,14.0,60 TEATIME FAIRY CAKE CASES,26853.26,0.6950502584758596,0.14216579238885332,A
23201,27850.83,13366,906,396,1076.02,594.0,14.0,JUMBO BAG ALPHABET,26774.81,3.863511428564247,0.1417504645510822,A
20750,26866.629999999997,3688,909,471,144.6,20.0,9.0,RED RETROSPOT MINI CASES,26722.03,0.5382141340391408,0.14147103812306996,A
22734,26763.75,9772,756,444,86.7,30.0,4.0,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26677.05,0.32394563542104526,0.1412329062410694,A
71459,26738.79,32989,1017,445,257.28000000000003,327.0,35.0,HANGING JAM JAR T-LIGHT HOLDER,26481.510000000002,0.9621976162720902,0.1401976837375925,A
22961,26888.43,17252,1200,558,444.59999999999997,344.0,13.0,JAM MAKING SET PRINTED,26443.83,1.6534992931904167,0.1399981993153208,A
22752,28139.45,3459,692,323,1761.2,224.0,25.0,SET 7 BABUSHKA NESTING BOXES,26378.25,6.2588287972934795,0.1396510074784689,A
22867,26117.63,11872,1054,521,172.20000000000002,82.0,7.0,HAND WARMER BIRD DESIGN,25945.43,0.659324754964367,0.13735958370862705,A
48111,25970.0,4248,720,244,102.4,16.0,3.0,DOORMAT 3 SMILEY CATS,25867.6,0.3943011166730843,0.1369475382578466,A
20971,28580.97,22260,1148,490,2739.3199999999997,2571.0,12.0,PINK BLUE FELT CRAFT TRINKET BOX,25841.65,9.584419283180381,0.13681015447976935,A
82600,25736.190000000002,12675,1201,385,83.80000000000001,43.0,7.0,NO SINGING METAL SIGN,25652.390000000003,0.3256115221406121,0.13580817938000442,A
20711,25719.13,12643,1052,326,70.31,38.0,12.0,JUMBO BAG TOYS,25648.82,0.273376276724757,0.1357892791839452,A
22507,25603.46,5455,900,445,118.1,24.0,13.0,MEMO BOARD RETROSPOT DESIGN,25485.36,0.46126578204664526,0.13492389373637267,A
22551,25912.87,15441,1299,616,435.15,287.0,18.0,PLASTERS IN TIN SPACEBOY,25477.719999999998,1.6792813763971337,0.1348834462579715,A
22835,27082.84,5302,1011,451,1744.8,408.0,11.0,HOT WATER BOTTLE I AM SO POORLY,25338.04,6.442455813348968,0.13414395623400885,A
21080,25416.93,31076,2123,798,433.66999999999996,653.0,11.0,SET/20 RED RETROSPOT PAPER NAPKINS,24983.260000000002,1.7062249453415497,0.13226568969118624,A
22149,26218.97,12674,1382,684,1244.4,664.0,22.0,FELTCRAFT 6 FLOWER FRIENDS,24974.57,4.746181867556201,0.13221968333159118,A
22087,25389.100000000002,8475,847,314,465.40000000000003,159.0,11.0,PAPER BUNTING WHITE LACE,24923.7,1.8330700970101341,0.13195036877317926,A
37503,25428.33,2465,522,256,515.45,51.0,11.0,TEA TIME CAKE STAND IN GIFT BOX,24912.88,2.027069807572892,0.1318930858260195,A
22084,25163.56,8803,811,464,299.45,111.0,4.0,PAPER CHAIN KIT EMPIRE,24864.11,1.1900144494658147,0.13163488902999532,A
84755,25205.13,40439,1259,524,415.35,729.0,28.0,COLOUR GLASS T-LIGHT HOLDER HANGING,24789.780000000002,1.6478788246678355,0.13124137318319445,A
23173,24879.13,2766,416,248,436.4,52.0,13.0,REGENCY TEAPOT ROSES,24442.73,1.754080629025211,0.12940403059430386,A
22722,24459.960000000003,5972,835,394,141.70000000000002,36.0,13.0,SET OF 6 SPICE TINS PANTRY DESIGN,24318.260000000002,0.5793141117156365,0.12874506493506396,A
48173C,24256.47,4147,537,224,55.93,7.0,4.0,DOORMAT BLACK FLOCK,24200.54,0.23057765618822523,0.12812183494064186,A
84836,24289.33,19847,1408,662,127.5,102.0,9.0,ZINC METAL HEART DECORATION,24161.83,0.5249218484000999,0.12791689752062757,A
84077,24445.61,106139,1019,482,361.68,1704.0,11.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24083.93,1.479529453345611,0.12750448147776755,A
22728,24257.31,6215,969,357,198.75,53.0,17.0,ALARM CLOCK BAKELIKE PINK,24058.56,0.8193406441192366,0.12737016831977835,A
22698,24374.620000000003,8193,1033,402,546.7500000000001,197.0,47.0,PINK REGENCY TEACUP AND SAUCER,23827.870000000003,2.2431118926161724,0.12614885565062067,A
21231,24128.86,19428,1482,500,388.93,323.0,71.0,SWEETHEART CERAMIC TRINKET BOX,23739.93,1.6118871757720838,0.12568328611520205,A
21527,24968.47,3345,831,352,1333.48,171.0,114.0,RED RETROSPOT TRADITIONAL TEAPOT,23634.99,5.340655634886719,0.12512771564616826,A
21955,23734.4,3911,729,279,183.28,28.0,5.0,DOORMAT UNION JACK GUNS AND ROSES,23551.120000000003,0.7722124848321423,0.12468369339309161,A
21481,25613.45,8174,1050,439,2065.9,802.0,15.0,FAWN BLUE HOT WATER BOTTLE,23547.55,8.065684240116033,0.12466479319703243,A
21790,23506.17,27244,1888,793,162.67,203.0,12.0,VINTAGE SNAP CARDS,23343.5,0.6920310709911482,0.12358451728502227,A
47590A,24185.030000000002,4753,690,355,887.8000000000001,188.0,9.0,BLUE HAPPY BIRTHDAY BUNTING,23297.230000000003,3.6708658207163687,0.12333955592041211,A
23344,23772.07,10285,716,391,486.96000000000004,262.0,7.0,JUMBO BAG 50'S CHRISTMAS,23285.11,2.0484543415865764,0.12327539054891705,A
22605,23426.82,1827,642,377,170.29999999999998,14.0,13.0,WOODEN CROQUET GARDEN SET,23256.52,0.7269445874429393,0.12312403015526663,A
20972,24785.31,20496,1397,568,1553.3899999999999,1497.0,10.0,PINK CREAM FELT CRAFT TRINKET BOX,23231.920000000002,6.267381767668025,0.12299379351015294,A
47566B,27564.75,6013,874,350,4490.5,1635.0,11.0,TEA TIME PARTY BUNTING,23074.25,16.29073363625645,0.1221590613217352,A
23243,23489.42,4800,470,275,545.55,117.0,35.0,SET OF TEA COFFEE SUGAR TINS PANTRY,22943.87,2.3225349966069833,0.1214688071026326,A
22607,22906.54,2533,744,419,133.55,16.0,8.0,WOODEN ROUNDERS GARDEN SET,22772.99,0.5830212681618437,0.12056413889462332,A
22625,22911.55,2627,950,440,299.2,37.0,21.0,RED KITCHEN SCALES,22612.35,1.3058915699723501,0.11971368301368576,A
22554,22853.72,13588,1275,587,243.14999999999998,159.0,9.0,PLASTERS IN TIN WOODLAND ANIMALS,22610.57,1.0639405751011213,0.119704259386519,A
22171,23709.46,3141,661,269,1212.1,154.0,32.0,3 HOOK PHOTO SHELF ANTIQUE WHITE,22497.36,5.112305383589503,0.11910490611036773,A
84970S,22578.3,26817,1523,616,105.19999999999999,125.0,14.0,HANGING HEART ZINC T-LIGHT HOLDER,22473.1,0.4659341048706058,0.11897646948392632,A
84406B,23093.95,7133,843,318,663.1,218.0,12.0,CREAM CUPID HEARTS COAT HANGER,22430.850000000002,2.8713147815769933,0.11875279069302985,A
21936,22741.31,7805,1046,396,391.75,143.0,24.0,RED RETROSPOT PICNIC BAG,22349.56,1.7226360310817626,0.11832242740517243,A
21314,24641.390000000003,11426,1066,369,2296.8,1228.0,66.0,SMALL GLASS HEART TRINKET POT,22344.590000000004,9.320902757514895,0.11829611536752142,A
85014A,22213.7,4656,712,361,47.6,8.0,2.0,BLACK/BLUE POLKADOT UMBRELLA,22166.100000000002,0.21428217721496196,0.11735115850628794,A
22556,22334.08,13585,1196,591,176.55,107.0,19.0,PLASTERS IN TIN CIRCUS PARADE,22157.530000000002,0.7904959595380692,0.11730578744740076,A
20749,22097.61,3062,766,426,101.75,13.0,10.0,ASSORTED COLOUR MINI CASES,21995.86,0.4604570358513884,0.11644987856872065,A
22113,22025.93,5759,996,488,121.8,32.0,6.0,GREY HEART HOT WATER BOTTLE,21904.13,0.552984595883125,0.11596424411927839,A
22499,21826.52,3584,774,452,41.650000000000006,7.0,3.0,WOODEN UNION JACK BUNTING,21784.87,0.19082290717897313,0.11533286109910523,A
21791,22858.600000000002,17604,1313,641,1156.25,1077.0,10.0,VINTAGE HEADS AND TAILS CARD GAME,21702.350000000002,5.058271285205568,0.11489598597899217,A
22585,21977.3,17557,1084,612,442.90999999999997,394.0,13.0,PACK OF 6 BIRDY GIFT TAGS,21534.39,2.0153067028251876,0.11400677675487442,A
21210,21727.19,15118,1161,508,197.54999999999998,151.0,10.0,SET OF 72 RETROSPOT PAPER DOILIES,21529.64,0.9092294033420797,0.11398162943518783,A
22502,21910.3,3706,923,335,436.42,86.0,16.0,PICNIC BASKET WICKER SMALL,21473.88,1.9918485826300873,0.11368642637293012,A
23202,21810.43,10941,879,377,442.46000000000004,242.0,6.0,JUMBO BAG VINTAGE LEAF,21367.97,2.0286624335237775,0.1131257205565077,A
23209,21418.82,13170,1098,469,65.80000000000001,40.0,11.0,LUNCH BAG VINTAGE DOILY,21353.02,0.30720646608916835,0.11304657267665202,A
