description_id,classification_text,description,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category
15,12 PENCILS SMALL TUBE RED RETROSPOT,12 PENCILS SMALL TUBE RED RETROSPOT,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
16,12 PENCILS SMALL TUBE SKULL,12 PENCILS SMALL TUBE SKULL,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
17,12 PENCILS TALL TUBE POSY,12 PENCILS TALL TUBE POSY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
18,12 PENCILS TALL TUBE RED RETROSPOT,12 PENCILS TALL TUBE RED RETROSPOT,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
19,12 PENCILS TALL TUBE SKULLS,12 PENCILS TALL TUBE SKULLS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
20,12 PENCILS TALL TUBE WOODLAND,12 PENCILS TALL TUBE WOODLAND,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
21,12 PINK HEN+CHICKS IN BASKET,12 PINK HEN+CHICKS IN BASKET,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
22,12 PINK ROSE PEG PLACE SETTINGS,12 PINK ROSE PEG PLACE SETTINGS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
23,12 RED ROSE PEG PLACE SETTINGS,12 RED ROSE PEG PLACE SETTINGS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
24,15 PINK FLUFFY CHICKS IN BOX,15 PINK FLUFFY CHICKS IN BOX,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
25,15CM CHRISTMAS GLASS BALL 20 LIGHTS,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Seasonal & Celebrations,High,Keyword rule override,Lighting & Candles,High,Seasonal & Celebrations,
26,16 PIECE CUTLERY SET PANTRY DESIGN,16 PIECE CUTLERY SET PANTRY DESIGN,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
27,18PC WOODEN CUTLERY SET DISPOSABLE,18PC WOODEN CUTLERY SET DISPOSABLE,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
28,2 DAISIES HAIR COMB,2 DAISIES HAIR COMB,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
29,2 PICTURE BOOK EGGS EASTER BUNNY,2 PICTURE BOOK EGGS EASTER BUNNY,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
30,2 PICTURE BOOK EGGS EASTER CHICKS,2 PICTURE BOOK EGGS EASTER CHICKS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
31,2 PICTURE BOOK EGGS EASTER DUCKS,2 PICTURE BOOK EGGS EASTER DUCKS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
32,20 DOLLY PEGS RETROSPOT,20 DOLLY PEGS RETROSPOT,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Low,,
33,200 BENDY SKULL STRAWS,200 BENDY SKULL STRAWS,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
34,200 RED + WHITE BENDY STRAWS,200 RED + WHITE BENDY STRAWS,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
35,24 HANGING EASTER EGGS FLORAL TUB,24 HANGING EASTER EGGS FLORAL TUB,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
36,3 BIRDS CANVAS SCREEN,3 BIRDS CANVAS SCREEN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
37,3 BLACK CATS W HEARTS BLANK CARD,3 BLACK CATS W HEARTS BLANK CARD,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
38,3 GARDENIA MORRIS BOXED CANDLES,3 GARDENIA MORRIS BOXED CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
39,3 HEARTS HANGING DECORATION RUSTIC,3 HEARTS HANGING DECORATION RUSTIC,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
40,3 HOOK HANGER MAGIC GARDEN,3 HOOK HANGER MAGIC GARDEN,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Low,,
41,3 HOOK PHOTO SHELF ANTIQUE WHITE,3 HOOK PHOTO SHELF ANTIQUE WHITE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
42,3 PIECE SPACEBOY COOKIE CUTTER SET,3 PIECE SPACEBOY COOKIE CUTTER SET,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
43,3 PINK HEN+CHICKS IN BASKET,3 PINK HEN+CHICKS IN BASKET,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
44,3 RAFFIA RIBBONS 50'S CHRISTMAS,3 RAFFIA RIBBONS 50'S CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
45,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
46,3 ROSE MORRIS BOXED CANDLES,3 ROSE MORRIS BOXED CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
47,3 STRIPEY MICE FELTCRAFT,3 STRIPEY MICE FELTCRAFT,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
48,3 TIER CAKE TIN GREEN AND CREAM,3 TIER CAKE TIN GREEN AND CREAM,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
49,3 TIER CAKE TIN RED AND CREAM,3 TIER CAKE TIN RED AND CREAM,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
50,3 TIER SWEETHEART GARDEN SHELF,3 TIER SWEETHEART GARDEN SHELF,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
51,3 TRADITIONAL BISCUIT CUTTERS SET,3 TRADITIONAL BISCUIT CUTTERS SET,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
52,3 WHITE CHOC MORRIS BOXED CANDLES,3 WHITE CHOC MORRIS BOXED CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
53,3 WICK CHRISTMAS BRIAR CANDLE,3 WICK CHRISTMAS BRIAR CANDLE,Seasonal & Celebrations,High,Keyword rule override,Lighting & Candles,High,Seasonal & Celebrations,
54,36 DOILIES DOLLY GIRL,36 DOILIES DOLLY GIRL,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
55,36 DOILIES VINTAGE CHRISTMAS,36 DOILIES VINTAGE CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
56,36 FOIL HEART CAKE CASES,36 FOIL HEART CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
57,36 FOIL STAR CAKE CASES,36 FOIL STAR CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
58,36 PENCILS TUBE POSY,36 PENCILS TUBE POSY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
59,36 PENCILS TUBE RED RETROSPOT,36 PENCILS TUBE RED RETROSPOT,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
60,36 PENCILS TUBE SKULLS,36 PENCILS TUBE SKULLS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
61,36 PENCILS TUBE WOODLAND,36 PENCILS TUBE WOODLAND,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
62,3D CHRISTMAS STAMPS STICKERS,3D CHRISTMAS STAMPS STICKERS,Seasonal & Celebrations,High,Keyword rule override,"Stationery, Crafts & Wrapping",High,Seasonal & Celebrations,
63,3D DOG PICTURE PLAYING CARDS,3D DOG PICTURE PLAYING CARDS,Toys & Children,High,LLM only,Toys & Children,High,,
64,3D HEARTS HONEYCOMB PAPER GARLAND,3D HEARTS HONEYCOMB PAPER GARLAND,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
65,3D SHEET OF CAT STICKERS,3D SHEET OF CAT STICKERS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
66,3D SHEET OF DOG STICKERS,3D SHEET OF DOG STICKERS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
67,3D SHEET OF SEA WORLD STICKERS,3D SHEET OF SEA WORLD STICKERS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
68,3D TRADITIONAL CHRISTMAS STICKERS,3D TRADITIONAL CHRISTMAS STICKERS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
69,3D VINTAGE CHRISTMAS STICKERS,3D VINTAGE CHRISTMAS STICKERS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
70,4 BLUE DINNER CANDLES SILVER FLOCK,4 BLUE DINNER CANDLES SILVER FLOCK,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
71,4 BURGUNDY WINE DINNER CANDLES,4 BURGUNDY WINE DINNER CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
72,4 GOLD FLOCK CHRISTMAS BALLS,4 GOLD FLOCK CHRISTMAS BALLS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
73,4 IVORY DINNER CANDLES GOLD FLOCK,4 IVORY DINNER CANDLES GOLD FLOCK,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
74,4 IVORY DINNER CANDLES SILVER FLOCK,4 IVORY DINNER CANDLES SILVER FLOCK,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
75,4 LAVENDER BOTANICAL DINNER CANDLES,4 LAVENDER BOTANICAL DINNER CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
76,4 LILY BOTANICAL DINNER CANDLES,4 LILY BOTANICAL DINNER CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
77,4 PEAR BOTANICAL DINNER CANDLES,4 PEAR BOTANICAL DINNER CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
78,4 PINK DINNER CANDLE SILVER FLOCK,4 PINK DINNER CANDLE SILVER FLOCK,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
79,4 PINK FLOCK CHRISTMAS BALLS,4 PINK FLOCK CHRISTMAS BALLS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
80,4 PURPLE FLOCK DINNER CANDLES,4 PURPLE FLOCK DINNER CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
81,4 ROSE PINK DINNER CANDLES,4 ROSE PINK DINNER CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
82,4 SKY BLUE DINNER CANDLES,4 SKY BLUE DINNER CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
83,4 TRADITIONAL SPINNING TOPS,4 TRADITIONAL SPINNING TOPS,Toys & Children,High,LLM only,Toys & Children,High,,
84,4 VANILLA BOTANICAL CANDLES,4 VANILLA BOTANICAL CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
85,4 WILDFLOWER BOTANICAL CANDLES,4 WILDFLOWER BOTANICAL CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
86,5 HOOK BLACKBOARD ORGANISER,5 HOOK BLACKBOARD ORGANISER,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
87,5 HOOK HANGER RED MAGIC TOADSTOOL,5 HOOK HANGER RED MAGIC TOADSTOOL,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
88,5 STRAND GLASS NECKLACE AMBER,5 STRAND GLASS NECKLACE AMBER,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
89,5 STRAND GLASS NECKLACE AMETHYST,5 STRAND GLASS NECKLACE AMETHYST,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
90,5 STRAND GLASS NECKLACE BLACK,5 STRAND GLASS NECKLACE BLACK,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
91,5 STRAND GLASS NECKLACE CRYSTAL,5 STRAND GLASS NECKLACE CRYSTAL,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
92,50'S CHRISTMAS GIFT BAG LARGE,50'S CHRISTMAS GIFT BAG LARGE,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
93,50'S CHRISTMAS PAPER GIFT BAG,50'S CHRISTMAS PAPER GIFT BAG,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
94,50CM METAL STRING WITH 7 CLIPS,50CM METAL STRING WITH 7 CLIPS,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
95,6 CHOCOLATE LOVE HEART T-LIGHTS,6 CHOCOLATE LOVE HEART T-LIGHTS,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
96,6 CROCHET STRAWBERRIES,6 CROCHET STRAWBERRIES,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
97,6 EGG HOUSE PAINTED WOOD,6 EGG HOUSE PAINTED WOOD,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
98,6 GIFT TAGS 50'S CHRISTMAS,6 GIFT TAGS 50'S CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
99,6 GIFT TAGS VINTAGE CHRISTMAS,6 GIFT TAGS VINTAGE CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
100,6 HOOK JEWEL STAND LILAC DRESS,6 HOOK JEWEL STAND LILAC DRESS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
101,6 HOOK JEWELLERY STAND BLACK DRESS,6 HOOK JEWELLERY STAND BLACK DRESS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
102,6 RABBIT CHAIN EASTER,6 RABBIT CHAIN EASTER,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
103,6 RIBBONS ELEGANT CHRISTMAS,6 RIBBONS ELEGANT CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
104,6 RIBBONS EMPIRE,6 RIBBONS EMPIRE,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
105,6 RIBBONS RUSTIC CHARM,6 RIBBONS RUSTIC CHARM,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
106,6 RIBBONS SHIMMERING PINKS,6 RIBBONS SHIMMERING PINKS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
107,6 ROCKET BALLOONS,6 ROCKET BALLOONS,Toys & Children,High,LLM only,Toys & Children,High,,
108,6 SEGMENT COLOURED SNACK BOWL,6 SEGMENT COLOURED SNACK BOWL,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
109,60 CAKE CASES DOLLY GIRL DESIGN,60 CAKE CASES DOLLY GIRL DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
110,60 CAKE CASES VINTAGE CHRISTMAS,60 CAKE CASES VINTAGE CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
111,60 GOLD AND SILVER FAIRY CAKE CASES,60 GOLD AND SILVER FAIRY CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
112,60 TEATIME FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
113,6PC WOOD PLATE SET DISPOSABLE,6PC WOOD PLATE SET DISPOSABLE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
114,72 ROUND PINK DOILIES,72 ROUND PINK DOILIES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
115,72 SWEETHEART FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
116,75 BLACK FAIRY CAKE CASES,75 BLACK FAIRY CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
117,75 BLACK PETIT FOUR CASES,75 BLACK PETIT FOUR CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
118,75 GREEN FAIRY CAKE CASES,75 GREEN FAIRY CAKE CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
119,75 GREEN PETIT FOUR CASES,75 GREEN PETIT FOUR CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
120,A PRETTY THANK YOU CARD,A PRETTY THANK YOU CARD,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
121,A4 WALL TIDY BLUE OFFICE,A4 WALL TIDY BLUE OFFICE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
122,A4 WALL TIDY RED FLOWERS,A4 WALL TIDY RED FLOWERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
123,ABC TREASURE BOOK BOX,ABC TREASURE BOOK BOX,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
124,ABSTRACT CIRCLE JOURNAL,ABSTRACT CIRCLE JOURNAL,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
125,ABSTRACT CIRCLES NOTEBOOK,ABSTRACT CIRCLES NOTEBOOK,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
126,ABSTRACT CIRCLES POCKET BOOK,ABSTRACT CIRCLES POCKET BOOK,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
127,ABSTRACT CIRCLES SKETCHBOOK,ABSTRACT CIRCLES SKETCHBOOK,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
128,"ACRYLIC BEAD CHAIN, BLUE","ACRYLIC BEAD CHAIN, BLUE","Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
129,"ACRYLIC BEAD CHAIN, PINK","ACRYLIC BEAD CHAIN, PINK","Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
130,"ACRYLIC BEAD GARLAND,PINK","ACRYLIC BEAD GARLAND,PINK","Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
131,ACRYLIC GEOMETRIC LAMP,ACRYLIC GEOMETRIC LAMP,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
132,"ACRYLIC HANGING JEWEL,BLUE","ACRYLIC HANGING JEWEL,BLUE",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
133,"ACRYLIC HANGING JEWEL,PINK","ACRYLIC HANGING JEWEL,PINK",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
134,"ACRYLIC JEWEL ANGEL,BLUE","ACRYLIC JEWEL ANGEL,BLUE",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
135,"ACRYLIC JEWEL ANGEL,PINK","ACRYLIC JEWEL ANGEL,PINK",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
136,"ACRYLIC JEWEL ICICLE, BLUE","ACRYLIC JEWEL ICICLE, BLUE",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
137,"ACRYLIC JEWEL ICICLE, CLEAR","ACRYLIC JEWEL ICICLE, CLEAR",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
138,"ACRYLIC JEWEL ICICLE, PINK","ACRYLIC JEWEL ICICLE, PINK",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
139,"ACRYLIC JEWEL SNOWFLAKE, PINK","ACRYLIC JEWEL SNOWFLAKE, PINK",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
140,"ACRYLIC JEWEL SNOWFLAKE,BLUE","ACRYLIC JEWEL SNOWFLAKE,BLUE",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
141,"ACRYLIC JEWEL SNOWFLAKE,PINK","ACRYLIC JEWEL SNOWFLAKE,PINK",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
142,ADVENT CALENDAR GINGHAM SACK,ADVENT CALENDAR GINGHAM SACK,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
143,AFGHAN SLIPPER SOCK PAIR,AFGHAN SLIPPER SOCK PAIR,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
144,AGED GLASS SILVER T-LIGHT HOLDER,AGED GLASS SILVER T-LIGHT HOLDER,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
145,AIRLINE BAG VINTAGE JET SET BROWN,AIRLINE BAG VINTAGE JET SET BROWN,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
146,AIRLINE BAG VINTAGE JET SET RED,AIRLINE BAG VINTAGE JET SET RED,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
147,AIRLINE BAG VINTAGE JET SET WHITE,AIRLINE BAG VINTAGE JET SET WHITE,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
148,AIRLINE BAG VINTAGE TOKYO 78,AIRLINE BAG VINTAGE TOKYO 78,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
149,AIRLINE BAG VINTAGE WORLD CHAMPION,AIRLINE BAG VINTAGE WORLD CHAMPION,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
150,"AIRLINE LOUNGE,METAL SIGN","AIRLINE LOUNGE,METAL SIGN",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
151,ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE CHOCOLATE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
152,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE GREEN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
153,ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE IVORY,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
154,ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE ORANGE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
155,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE PINK,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
156,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE RED,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
157,ALPHABET HEARTS STICKER SHEET,ALPHABET HEARTS STICKER SHEET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
158,ALPHABET STENCIL CRAFT,ALPHABET STENCIL CRAFT,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
159,ALUMINIUM STAMPED HEART,ALUMINIUM STAMPED HEART,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
160,AMBER 3 BEAD DROP EARRINGS,AMBER 3 BEAD DROP EARRINGS,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
161,AMBER BERTIE GLASS BEAD BAG CHARM,AMBER BERTIE GLASS BEAD BAG CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
162,AMBER BERTIE MOBILE PHONE CHARM,AMBER BERTIE MOBILE PHONE CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
163,AMBER CHUNKY BEAD BRACELET W STRAP,AMBER CHUNKY BEAD BRACELET W STRAP,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
164,AMBER CHUNKY GLASS+BEAD NECKLACE,AMBER CHUNKY GLASS+BEAD NECKLACE,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
165,AMBER CRYSTAL DROP EARRINGS,AMBER CRYSTAL DROP EARRINGS,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
166,AMBER DIAMANTE EXPANDABLE RING,AMBER DIAMANTE EXPANDABLE RING,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
167,AMBER DROP EARRINGS W LONG BEADS,AMBER DROP EARRINGS W LONG BEADS,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
